LGA,Repairs,Average repair time,Proactive replacement,Same time last year,Average daily use,Total use,New small substations,Installing cables,Maintenance jobs,Connections,Generation capacity,Exported power,Reports,Clean ups,Average response time
Ashfield, 38, 3.5, 0, 24962006, 14.8, 15.4, 3, 650, 1410, 441, 894, 202958, 19, 18, 9.7, 
Auburn, 141, 6.2, 0, 36918535, 15.3, 16.2, 6, 11251, 1836, 2382, 3422, 621739, 5, 4, 7.0, 
Bankstown, 366, 5.0, 1867, 120010392, 20.1, 20.8, 5, 789, 4342, 3580, 7183, 1648609, 57, 42, 5.2, 
Botany Bay, 70, 9.5, 0, 21673125, 14.4, 15.0, 1, 667, 502, 410, 847, 190105, 32, 32, 8.3, 
Burwood, 76, 2.9, 0, 19230900, 16.6, 17.8, 0, 3, 331, 443, 965, 234566, 4, 4, 4.5, 
Canada Bay, 104, 2.4, 0, 49440165, 15.9, 16.9, 5, 532, 1344, 868, 1863, 465223, 33, 32, 5.3, 
Canterbury, 124, 4.2, 1992, 81572765, 16.4, 17.0, 3, 330, 2986, 1946, 3885, 868744, 6, 6, 4.2, 
Cessnock, 70, 2.8, 0, 41281181, 20.8, 21.6, 9, 848, 2399, 1526, 3860, 948785, 1, 1, 5.0, 
Gosford, 142, 3.2, 1407, 140230179, 19.9, 20.7, 20, 8035, 6907, 5129, 10202, 2474247, 25, 25, 2.0, 
Hornsby, 194, 1.6, 0, 118623978, 22.9, 24.2, 7, 2685, 4227, 3721, 7529, 1819892, 34, 30, 5.4, 
Hunters Hill, 41, 1.9, 0, 13240415, 27.4, 28.3, 0, 6, 123, 171, 422, 93198, 7, 7, 8.3, 
Hurstville, 105, 4.3, 2510, 51324084, 17.9, 18.6, 5, 1141, 1275, 1541, 3093, 747760, 6, 6, 6.0, 
Kogarah, 52, 6.0, 0, 39317942, 19.1, 19.8, 2, 470, 1429, 843, 1732, 404260, 2, 2, 14.0, 
Ku-ring-gai, 296, 1.6, 26, 109396056, 29.2, 30.8, 2, 6166, 2168, 1730, 3814, 802939, 23, 22, 9.5, 
Lake Macquarie, 370, 2.5, 4147, 147483513, 20.2, 21.1, 11, 1993, 3810, 6982, 15366, 4011759, 67, 66, 0.9, 
Lane Cove, 30, 2.0, 0, 26955758, 21.2, 22.1, 0, 0, 140, 416, 960, 218792, 11, 10, 7.7, 
Leichhardt, 79, 3.3, 0, 36151486, 15.5, 16.2, 0, 9, 305, 595, 1263, 276117, 23, 22, 5.5, 
Maitland, 144, 1.3, 0, 51422896, 20.2, 21.0, 10, 2452, 2587, 2004, 4685, 1244495, 36, 35, 2.6, 
Manly, 38, 2.7, 0, 32534188, 18.3, 19.0, 4, 1437, 178, 476, 1031, 254393, 17, 17, 4.4, 
Marrickville, 227, 11.7, 0, 47265364, 14.1, 14.7, 4, 5661, 2053, 959, 2152, 460054, 7, 7, 5.6, 
Mosman, 105, 2.3, 0, 27984488, 22.2, 23.1, 1, 126, 140, 223, 572, 126774, 15, 14, 7.3, 
Muswellbrook, 8, 2.2, 0, 15743545, 25.5, 26.3, 12, 425, 971, 276, 932, 270450, 4, 4, 7.0, 
Newcastle, 257, 2.3, 348, 102497536, 16.5, 17.1, 13, 598, 5677, 4469, 9492, 2621375, 41, 37, 2.9, 
North Sydney, 74, 2.6, 0, 49692068, 14.6, 15.2, 2, 1186, 1708, 243, 554, 135089, 6, 6, 6.5, 
Pittwater, 50, 3.7, 0, 50405167, 22.5, 23.3, 0, 901, 732, 1185, 2637, 627742, 4, 4, 12.8, 
Port Stephens, 112, 2.2, 0, 58831561, 20.4, 20.8, 10, 859, 3929, 2606, 5813, 1484774, 3, 3, 3.3, 
Randwick, 405, 11.3, 0, 88713115, 16.4, 16.8, 11, 5615, 3085, 1190, 2600, 657337, 93, 87, 4.6, 
Rockdale, 160, 5.5, 0, 59510139, 15.7, 16.3, 4, 647, 1465, 1228, 2381, 596016, 11, 11, 2.6, 
Ryde, 126, 1.5, 3474, 73652185, 18.5, 19.5, 8, 4082, 977, 1792, 3493, 815693, 13, 12, 4.8, 
Singleton, 6, 0.8, 0, 22398136, 26.5, 26.9, 15, 2738, 2713, 619, 1957, 527870, 0, 0, 0.0, 
Strathfield, 122, 3.8, 0, 22890967, 18.6, 19.7, 2, 240, 590, 462, 1005, 233408, 20, 20, 4.7, 
Sutherland, 321, 8.8, 0, 181612066, 23.3, 24.1, 14, 3665, 7392, 4070, 8912, 2139574, 88, 86, 4.2, 
Sydney, 423, 10.5, 52, 113386517, 12.7, 13.2, 10, 15091, 5007, 529, 1212, 271178, 33, 31, 6.3, 
Upper Hunter, 4, 1.2, 0, 12006806, 24.3, 25.1, 8, 674, 2009, 240, 845, 263399, 6, 6, 5.5, 
Warringah, 103, 2.0, 0, 100501375, 18.8, 19.6, 5, 2474, 2986, 2803, 6056, 1561121, 14, 13, 6.3, 
Waverley, 187, 12.8, 115, 48861109, 16.1, 16.7, 0, 546, 1053, 441, 941, 233805, 104, 101, 5.6, 
Willoughby, 70, 1.6, 1110, 53194328, 20.1, 20.8, 1, 1188, 1438, 892, 1962, 479569, 7, 6, 10.6, 
Woollahra, 204, 13.1, 865, 57423630, 22.8, 23.7, 1, 104, 3197, 242, 624, 153472, 23, 21, 4.2, 
Wyong, 169, 2.1, 636, 113297529, 18.6, 19.3, 11, 3660, 4861, 5302, 10179, 2655980, 34, 34, 2.4, 
Total Network, 5613, 5.4, 18549, 2461637194, 18.7, 19.5, 225, 89944, 90282, 64975, 137331, 33843260, 934, 884, 4.9, 